from	to
5087100.0	965051.0
5043552.0	965051.0
4106228.0	3859027.0
2825806.0	3859027.0
5701.0	3859027.0
3797570.0	3859027.0
7804896.0	4830296.0
2319844.0	1447509.0
6429699.0	4452553.0
6060650.0	4452553.0
58186.0	157247.0
5269827.0	1491895.0
3813825.0	3066972.0
3310749.0	3066972.0
118068.0	3066972.0
2790092.0	574632.0
1059101.0	574632.0
4354201.0	574632.0
2856088.0	574632.0
944867.0	965051.0
2029048.0	992666.0
991275.0	992666.0
2758150.0	992666.0
2078030.0	992666.0
2905625.0	992666.0
2346427.0	992666.0
709329.0	992666.0
4863202.0	519413.0
201078.0	519413.0
1633186.0	519413.0
1011527.0	519413.0
1312107.0	1428679.0
1469954.0	1428679.0
907927.0	1253312.0
1518924.0	1875256.0
3231139.0	1875256.0
2369807.0	295783.0
2438423.0	689579.0
2207559.0	9645594.0
6371914.0	412507.0
3402854.0	412507.0
1491895.0	412507.0
1868805.0	19068.0
8929645.0	1842959.0
3655408.0	1842959.0
522511.0	2082141.0
118068.0	2082141.0
3794803.0	2082141.0
1353011.0	4255447.0
6385825.0	973578.0
7193616.0	973578.0
2670571.0	973578.0
7347451.0	973578.0
4084932.0	973578.0
1714715.0	973578.0
4181566.0	973578.0
1175966.0	568785.0
3386635.0	1491895.0
3840799.0	1491895.0
2826778.0	2853243.0
804867.0	2853243.0
2911621.0	2853243.0
1980906.0	1059101.0
1353011.0	1059101.0
1879822.0	1491895.0
452074.0	114251.0
4494979.0	114251.0
4237824.0	114251.0
2293686.0	965051.0
4871242.0	3984553.0
1059101.0	3984553.0
3465521.0	3358027.0
3125425.0	3358027.0
2649661.0	3358027.0
1652183.0	2633591.0
3977527.0	2633591.0
3696399.0	2633591.0
3745183.0	2633591.0
3989136.0	2633591.0
2745584.0	2633591.0
1554899.0	19068.0
3703534.0	6714544.0
1809895.0	6714544.0
2934788.0	6714544.0
1512940.0	6714544.0
1534638.0	6714544.0
2940893.0	2472111.0
1992649.0	2472111.0
2806497.0	2472111.0
1529853.0	4733666.0
4719957.0	4733666.0
1910447.0	19068.0
1697320.0	19068.0
7727843.0	8075342.0
8075749.0	8075342.0
1094246.0	8075342.0
3385827.0	8075342.0
3007335.0	19068.0
1295146.0	19068.0
5043552.0	4373584.0
4007898.0	1719752.0
764846.0	328193.0
285587.0	328193.0
864620.0	212107.0
1573683.0	212107.0
1799096.0	212107.0
7450125.0	1441822.0
7772070.0	1441822.0
3326275.0	519413.0
341629.0	1293958.0
1447509.0	1293958.0
157247.0	11222004.0
285587.0	396373.0
3011784.0	1447509.0
3702602.0	2333214.0
218432.0	2333214.0
1875256.0	2333214.0
1407478.0	519413.0
615746.0	1353011.0
1215921.0	582278.0
1317805.0	582278.0
780498.0	1517551.0
1679187.0	1517551.0
1465324.0	1517551.0
7450125.0	2840750.0
4057622.0	2840750.0
519413.0	2840750.0
5935182.0	6876418.0
4395287.0	6876418.0
2792053.0	402022.0
1959207.0	402022.0
19068.0	402022.0
2567446.0	19068.0
114251.0	2834984.0
1906356.0	3083093.0
1496715.0	3083093.0
2232273.0	1059101.0
2504564.0	1059101.0
3963270.0	1059101.0
661872.0	1175966.0
2641232.0	5168739.0
3959018.0	5168739.0
1059101.0	5168739.0
2666779.0	678801.0
1059101.0	678801.0
560161.0	2080056.0
