from	to
2475928.0	6385825.0
2475928.0	7193616.0
2475928.0	2670571.0
2475928.0	7347451.0
2475928.0	973578.0
2475928.0	4084932.0
2475928.0	1714715.0
2475928.0	4181566.0
8454443.0	11982418.0
4592338.0	1714715.0
12243737.0	4345141.0
12243737.0	6192973.0
12243737.0	3385827.0
8454443.0	9825123.0
8454443.0	12213212.0
7543076.0	157247.0
12000271.0	9314803.0
12000271.0	10831557.0
12000271.0	2815635.0
8454443.0	11945202.0
8454443.0	10620671.0
8454443.0	5994600.0
8863398.0	560161.0
8863398.0	11945202.0
8863398.0	295783.0
8863398.0	2080056.0
9964622.0	19068.0
8454443.0	1447509.0
1773111.0	9012930.0
1773111.0	1068142.0
1773111.0	1258004.0
5413974.0	1428972.0
5413974.0	11210545.0
5413974.0	11210190.0
5413974.0	3288220.0
5413974.0	290326.0
5413974.0	5466788.0
7485096.0	519413.0
6537847.0	11635033.0
6537847.0	5921745.0
6537847.0	3169577.0
6537847.0	3185267.0
5269101.0	8684182.0
5269101.0	7336232.0
5269101.0	2683013.0
5269101.0	1758300.0
5269101.0	3179824.0
5269101.0	3525315.0
10058421.0	743290.0
10058421.0	4723536.0
10058421.0	2438423.0
10058421.0	10383360.0
10058421.0	3639777.0
4485112.0	6012416.0
11428688.0	9645594.0
11428688.0	2207559.0
11199969.0	6876418.0
11199969.0	4373100.0
11073679.0	5947043.0
8261662.0	1553888.0
7846716.0	11222004.0
7846716.0	157247.0
10656274.0	295783.0
10881490.0	1447509.0
7929767.0	463319.0
7131052.0	6693915.0
7131052.0	1011527.0
7402075.0	5104748.0
7402075.0	5180406.0
7402075.0	1586174.0
8855315.0	1491895.0
10377395.0	5043246.0
10377395.0	4093753.0
10377395.0	7036990.0
10377395.0	10412708.0
10377395.0	10412669.0
10377395.0	7104527.0
3539826.0	10546053.0
3539826.0	1353011.0
8299788.0	3295867.0
6622661.0	4016739.0
6622661.0	4726671.0
10452832.0	3295867.0
10452832.0	3603681.0
3882672.0	1928179.0
3882672.0	1324.0
5506388.0	3711988.0
8910194.0	4281779.0
8910194.0	6392431.0
10183376.0	1353011.0
9865676.0	1491895.0
9931240.0	7796398.0
9931240.0	1353011.0
6634556.0	6634556.0
6634556.0	9879702.0
8155129.0	4460737.0
8155129.0	9879702.0
8155129.0	473887.0
2633817.0	2487009.0
2633817.0	2780033.0
8578494.0	7573008.0
8578494.0	7198161.0
8578494.0	3847473.0
8578494.0	5186357.0
8578494.0	6385525.0
8578494.0	3114547.0
9735475.0	2595012.0
9735475.0	5765887.0
9735475.0	1583522.0
9735475.0	1680415.0
9578024.0	8543056.0
9578024.0	1829499.0
9578024.0	4057622.0
9578024.0	5060349.0
6579677.0	2613552.0
7109475.0	3385827.0
7109475.0	7450125.0
7852240.0	30945.0
