user_id	post_type	post_id
9091289	question	59227819
11671804	question	59213698
12467917	question	59138352
9136484	question	59122074
12286923	question	59053192
2475928	question	26567486
7043908	question	42145610
12315192	question	58783840
12298806	question	58737783
3176995	question	58706523
8454443	question	58704891
3907115	question	44455493
4592338	question	31491484
12248809	question	58665734
4101254	question	44283986
6875779	question	58582694
11935413	question	58578538
12219660	question	58514150
12248809	question	58495339
12243737	question	58465693
8454443	question	58374309
7798099	question	58294055
12152803	question	58198756
3839785	question	29293289
7543076	question	58084527
12084946	question	57992568
12086829	question	57999340
12000271	question	57882997
1027593	question	30841128
10865181	question	57725779
8454443	question	57723773
11996740	question	57718624
9177160	question	57681136
8454443	question	57672869
8863398	question	57608779
9964622	question	57571407
11484566	question	57553444
11512510	question	57542967
11683151	question	57449217
11369571	question	57284761
11823380	question	57352164
11875037	question	57330333
11301415	question	57184112
8454443	question	57245970
1773111	question	14065528
11190702	question	57146667
9639887	question	57027080
5413974	question	33914245
11392965	question	56964245
7485096	question	50675668
8221313	question	56928379
11390986	question	56928612
10569498	question	56906590
3656165	question	23757388
3149572	question	24238317
3737051	question	30524887
6537847	question	39072364
11720624	question	56826367
5269101	question	33507566
536739	question	56762045
8324866	question	56725341
11492642	question	56622953
11011366	question	56569093
11634663	question	56555292
11565965	question	56547478
11623610	question	56520313
10712784	question	56452790
10571056	question	56436651
11320722	question	55811231
10058421	question	56168729
10909240	question	56275408
4485112	question	36639817
1706738	question	56159360
11491276	question	56107283
11371198	question	55903280
11428688	question	55911173
5751745	question	47750766
11457756	question	56026486
11457756	question	55999535
4436494	question	55985446
11208239	question	55973215
10819949	question	55866816
10690583	question	55761793
3722330	question	46591158
8336774	question	55666814
11199969	question	55655622
11238886	question	55631965
9036123	question	55560738
3089871	question	39085031
1698062	question	20155541
11073679	question	55393407
6831443	question	55371863
10695285	question	55327071
8261662	question	55307659
8993998	question	55284767
7846716	question	55265015
11222923	question	55248006
4125723	question	55143801
11162408	question	55033266
10580264	question	55068049
10656274	question	55060113
9905207	question	55001943
10921395	question	54903558
10824465	question	54877343
11059307	question	54867832
10800714	question	54791074
10531332	question	54654608
4170720	question	54741795
7026596	question	54688429
3144998	question	54633513
9448920	question	53425660
6478514	question	38056149
10987387	question	54442620
10987387	question	54431331
10881490	question	54332766
10904597	question	54280684
10939270	question	54273022
3158670	question	54272486
7929767	question	54134242
5830377	question	36503707
6060822	question	40438695
10851495	question	54048966
7469515	question	54033430
7250549	question	42505801
10638741	question	54005262
7822255	question	53861206
7131052	question	45038996
8445588	question	45900223
9441262	question	53800829
10663750	question	53685950
5614644	question	37866519
10663750	question	53673249
10100046	question	53653039
4067637	question	53573932
10708520	question	53518293
7402075	question	53507590
10188273	question	53446554
9448920	question	53424542
8855315	question	53354296
5136030	question	53307614
9352987	question	53297684
10552923	question	53290424
4643961	question	53250161
10377395	question	53231122
10377395	question	53077240
9939396	question	53028419
10554358	question	52977947
3539826	question	44616498
9818500	question	52905454
9325112	question	52847826
8299788	question	52847304
9313610	question	52844745
10503914	question	52806405
6622661	question	39068334
10452832	question	52651655
10452832	question	52640290
7903365	question	44055609
5980425	question	52606977
9086020	question	52490500
10030935	question	52504945
8772098	question	52460608
1846974	question	52366902
9886643	question	52356391
9775904	question	52312404
3882672	question	25047156
7580173	question	47389557
9505723	question	52161164
10040686	question	52144574
9714132	question	52128195
5361707	question	52068931
10264068	question	52069813
10264734	question	51986012
5506388	question	48255031
7293314	question	51487548
8910194	question	51862978
10220891	question	51828744
9077524	question	51813058
7279796	question	51644940
7025447	question	51746151
9995864	question	51688800
10183376	question	51696334
9458892	question	51575551
8693804	question	51524321
8838243	question	51497849
10114772	question	51456027
10040051	question	51317227
9568017	question	50863735
9591420	question	51215774
2249197	question	20350431
10030716	question	51168816
6161134	question	37321862
8303506	question	51052964
9244199	question	51000353
8695962	question	50831219
9865676	question	50824211
7625067	question	50822460
9931240	question	50821020
6634556	question	50713234
9907461	question	50735821
8155129	question	50722289
9329362	question	50633569
2633817	question	21349755
7525777	question	50403592
8578494	question	46578763
9018535	question	50285411
6555579	question	50225516
7117056	question	50180336
9735475	question	50180506
9741894	question	50178784
6928258	question	42272893
9131557	question	50078866
5394650	question	50105955
8704148	question	49969995
8367786	question	49933299
9654136	question	49861264
7314619	question	49838638
9260039	question	49783866
9624241	question	49751122
7820507	question	49747330
2304993	question	37326365
3984431	question	25536659
8492486	question	49662451
9528480	question	49648656
5983765	question	45901467
9598035	question	49656367
6401166	question	49618151
9578024	question	49585980
7338286	question	46135810
9011771	question	49305276
9437856	question	49420662
6579677	question	45348289
7109475	question	49461454
7852240	question	47722022
9145651	question	49402802
4500863	question	49378046
9498837	question	49305564
9496837	question	49297805
9313010	question	49250037
9471710	question	49220650
4273929	question	49240357
9471710	question	49209694
9420481	question	49210673
4914722	question	49205066
9420481	question	49178071
9455878	question	49149180
3244265	question	49135581
2989676	question	49046253
9427851	question	49045559
7827958	question	44522534
7448025	question	48951875
8828394	question	48937976
9219620	question	48904646
8197232	question	48889057
8703467	question	48847975
1366467	question	48828437
727965	question	48730722
9352698	question	48758569
6506673	question	48745690
1579565	question	48743877
8690840	question	48700081
5346214	question	48681247
9328252	question	48667420
8648137	question	48597987
3427706	question	24450525
4937324	question	48570169
7182340	question	48562438
8602698	question	48555322
8453778	question	48541050
9278216	question	48482386
9276941	question	48477636
9270990	question	48473136
8963369	question	48429667
6778883	question	48455301
7166750	question	48370124
9258553	question	48410049
8942066	question	48391340
8515406	question	48354026
9229584	question	48353392
6809723	question	48343457
9239688	question	48339727
9238540	question	48335119
9130885	question	48296391
9170807	question	48254842
8951170	question	48247418
7588354	question	48243030
6599163	question	48232368
9194228	question	48175823
9130885	question	48141425
7479922	question	41917493
3224142	question	34961758
7845335	question	48091672
4796803	question	48028937
7069425	question	48024344
5273221	question	48005838
8752150	question	47965798
5548807	question	47957708
5737181	question	47903284
9099842	question	47818675
9103677	question	47833359
6067789	question	36055602
8993742	question	47794309
4526506	question	36455988
4065323	question	28453340
7543238	question	47584336
3176132	question	47565672
7971387	question	47562841
8911684	question	47546947
2179875	question	47538936
5630438	question	47526395
6393415	question	47502109
1391264	question	47490971
2877123	question	47488897
8895765	question	47381555
8864377	question	47472330
2877123	question	47466219
7636455	question	47436561
8933290	question	47418628
8504511	question	47407494
7210470	question	40867744
2877123	question	47305529
5667333	question	47298444
4564280	question	47264002
2801144	question	29270799
6201679	question	47245823
3551712	question	47233695
3392772	question	22623826
6008429	question	47141285
8893954	question	47136615
7226603	question	47140438
8793735	question	47132013
4109339	question	47129253
8826893	question	47113635
8883103	question	47104952
8825235	question	47027774
8359730	question	46135180
7724838	question	46945208
1286956	question	47011559
2763154	question	46994729
8833853	question	46982917
8843698	question	46975750
6832877	question	46901034
8345336	question	46863902
7243731	question	46862520
7302589	question	46833766
8796071	question	46812040
8794865	question	46807563
7598701	question	42368347
5009240	question	46773157
4363391	question	46753825
8337480	question	46754131
8663822	question	46747876
7523959	question	46731704
7586105	question	46716193
2563139	question	29694529
7662007	question	46655090
5702077	question	46638033
8730384	question	46599198
1760937	question	46568152
8486983	question	46540866
7124969	question	46555929
8707246	question	46541281
7662007	question	46533795
8694390	question	46529556
8011659	question	46528212
2039708	question	46519435
5322741	question	46520548
3955028	question	46408472
8294449	question	46503096
8377234	question	46444582
8377234	question	46486487
8691060	question	46475186
8680305	question	46439210
6627388	question	46412599
8377234	question	46421758
8225618	question	46402064
7079041	question	46395992
8665345	question	46391743
8659138	question	46391635
8119608	question	46378722
6349536	question	40647801
8222015	question	46349498
7737406	question	42894744
2115084	question	46327647
5159035	question	46314074
8634527	question	46303935
7806107	question	46262462
8580437	question	46243508
8541323	question	46254916
2826194	question	21620133
6942031	question	46207351
3178959	question	46139312
2360229	question	46135119
8323473	question	46110567
4371033	question	46048627
7448865	question	46073782
8542069	question	46033697
2130762	question	42529835
1737773	question	18765984
5126024	question	46013874
8233087	question	45898364
6738444	question	45986750
8532047	question	45937085
7191544	question	45926548
8484619	question	45917839
8519710	question	45893002
5042517	question	45887740
8187485	question	45865348
8259605	question	45842394
6444619	question	45841944
8259605	question	45838455
2106900	question	45788572
8186763	question	45816624
7875765	question	45808443
1367975	question	21255885
6594326	question	45797116
8491606	question	45784711
6789658	question	45784097
1834618	question	15300470
6667879	question	45757402
5996298	question	45749668
7848564	question	45747615
8357402	question	45668948
8305605	question	45727415
8474347	question	45721406
1875768	question	45685371
8286219	question	45663865
2202284	question	21576488
8130727	question	45635769
7671482	question	45631670
7767381	question	45594944
8426853	question	45588158
6738000	question	45551788
8303506	question	45527315
8362912	question	45501698
2008111	question	21403402
6828186	question	45466728
7173798	question	45449843
6579677	question	45352746
7163419	question	45299786
8237975	question	45295408
4509083	question	45287381
8257918	question	45271876
5646978	question	45269572
2840178	question	45266230
7587575	question	45255364
8259605	question	45206428
8259605	question	45205165
1141808	question	45198110
8332000	question	45195531
8259605	question	45193898
6599619	question	45191659
8259605	question	45189662
3565164	question	45128760
5260450	question	45122652
2713831	question	45121588
7587575	question	45106008
8253643	question	45049180
5949605	question	44900942
2639009	question	28125226
6741307	question	44833312
8217790	question	44769978
6738171	question	44762988
4332208	question	43774064
3384025	question	44725296
5922827	question	44722027
8198852	question	44695245
6579677	question	44634659
784246	question	34637524
6790777	question	44604884
4973953	question	44529019
8170370	question	44583544
8166515	question	44569244
8065247	question	44530124
3533795	question	44491056
8140107	question	44469563
4482769	question	44459059
7627304	question	44372708
7836737	question	44356829
5746950	question	44344809
8108054	question	44346965
8106083	question	44340530
8103776	question	44331674
8086425	question	44325080
7513018	question	44303825
8093508	question	44292252
8052221	question	44276182
8083607	question	44251306
6152567	question	44249228
8066192	question	44228939
5468958	question	44133965
6065078	question	44224067
8075749	question	44221946
2207078	question	44209002
8050863	question	44124352
7953041	question	44185851
3723161	question	44173068
7973076	question	44144952
8006129	question	44134396
8046645	question	44107166
5468958	question	44098666
5468958	question	44098190
7965040	question	44097690
7671482	question	44067302
5636855	question	44054074
7957139	question	44032787
6323464	question	44018954
7127733	question	43997599
8008498	question	43958813
7748022	question	43942859
5414111	question	37745960
6243955	question	43858910
6576691	question	43795206
7851639	question	43821986
7423021	question	43795339
3043710	question	43810960
7962581	question	43780636
6843221	question	43686835
2093848	question	43757150
7936212	question	43719318
2572007	question	19231903
6787580	question	43674262
7192587	question	43671412
7727773	question	43663360
7925981	question	43636746
5499371	question	43612116
7919522	question	43611913
2906013	question	43607283
4172765	question	43600955
7784651	question	43536619
6907396	question	43485985
7831719	question	43467038
6907396	question	43453156
7878053	question	43449539
6629519	question	42021666
7722712	question	43427169
3363305	question	43384191
7535133	question	43370084
6760485	question	43340149
5780611	question	43330701
2218253	question	43302820
5361578	question	43301392
7804470	question	43294373
5855723	question	43270326
4274031	question	36971047
5076153	question	43216841
6223843	question	43255705
5855723	question	43252702
6227095	question	43249507
7798225	question	43143478
1993983	question	17672461
4473014	question	43165713
2309473	question	43148024
6719577	question	42958869
7409253	question	43115242
7727773	question	43112821
3997097	question	25876687
734371	question	43109413
3482570	question	33060719
2838500	question	19268036
2102389	question	43043086
4817557	question	43016091
6482130	question	37905493
7735177	question	42891749
6845052	question	42187080
6845052	question	42048276
2817437	question	42991072
6357057	question	42970437
6231968	question	42908384
7501200	question	42888635
7100486	question	42888273
5329750	question	42863703
7274626	question	42867327
294465	question	42867414
7728234	question	42862925
3910124	question	27553384
6803781	question	42361854
7658841	question	42785000
7181785	question	42738624
7701980	question	42760252
6121338	question	42759532
7696332	question	42754398
7688577	question	42711687
7463657	question	42717319
6596438	question	42665666
7675210	question	42660388
7661863	question	42628809
4526012	question	42636454
7526995	question	42619712
6731818	question	42640517
7669652	question	42638957
7244953	question	41369740
7583481	question	42592940
2571904	question	42580117
4497356	question	42549972
7583481	question	42530737
7638960	question	42522953
7327467	question	42512041
7248517	question	42495538
7622836	question	42460894
7620082	question	42454648
7620174	question	42451698
